Country Name,Country Code,year,gdp_per_capita,co2_per_capita
Aruba,ABW,1990,12187.5363611898,2102.73606068514
Africa Eastern and Southern,AFE,1990,822.402998906313,18.9081487591203
Africa Western and Central,AFW,1990,593.024667183284,8.77632671438011
Angola,AGO,1990,965.866840464665,52.1902417322833
Albania,ALB,1990,617.230435515505,227.027483856569
Andorra,AND,1990,19563.6574722488,390.233460548491
United Arab Emirates,ARE,1990,26709.993440327,3365.47558265529
Argentina,ARG,1990,4315.33403111588,387.507498155889
Armenia,ARM,1990,635.355327502517,113.358559035304
Antigua and Barbuda,ATG,1990,7590.75442423046,506.895341863686
Australia,AUS,1990,18273.561526468,1823.73917297291
Austria,AUT,1990,21596.068219998,874.945979351786
Azerbaijan,AZE,1990,1238.27189274842,187.392623634028
Burundi,BDI,1990,202.629446176297,4.92640558581715
Belgium,BEL,1990,20600.3752789827,1223.67149809452
Benin,BEN,1990,371.101604332357,14.8350900247416
Burkina Faso,BFA,1990,338.593759055128,8.27274412279736
Bangladesh,BGD,1990,283.053737055234,15.8944375079137
Bulgaria,BGR,1990,2366.52982128614,991.298301320105
Bahrain,BHR,1990,9342.53891401688,2758.63568860494
"Bahamas, The",BHS,1990,11473.3008389353,863.277505679398
Bosnia and Herzegovina,BIH,1990,1742.88262171767,116.088304718135
Belarus,BLR,1990,1706.64091882343,249.991388885015
Belize,BLZ,1990,2986.46962075029,193.177615368557
Bermuda,BMU,1990,27665.525808301,855.827711188882
Bolivia,BOL,1990,682.67681029538,103.352358101582
Brazil,BRA,1990,2619.80141064047,158.696165897004
Barbados,BRB,1990,7781.40573306125,469.3504488821
Bhutan,BTN,1990,488.327431477129,27.401888482094
Botswana,BWA,1990,2903.15381562611,211.490393417851
Central African Republic,CAF,1990,501.656200636394,7.54311658844311
Canada,CAN,1990,21525.8611387148,1795.7836297524
Central Europe and the Baltics,CEB,1990,2457.17454927702,687.866498287654
Switzerland,CHE,1990,39574.5398083788,733.634889893179
Chile,CHL,1990,2487.76829657299,291.270295785572
China,CHN,1990,318.50335359039,242.878328788705
Cote d'Ivoire,CIV,1990,885.647842214928,51.1016445233076
